district,layout,area_m2,base_rent,furnished,age_days
praha4,1+kk,28,16000.0,Částečně,5
praha5,2+kk,55,33000.0,Ano,5
praha10,1+kk,33,17000.0,,5
praha3,2+kk,61,30000.0,Ano,5
praha8,2+kk,63,25000.0,Ano,5
praha4,2+kk,46,20900.0,,5
praha4,2+kk,51,20900.0,Ne,6
praha2,3+1,81,31000.0,Ne,6
praha5,1+1,40,13000.0,,6
praha5,1+kk,25,18000.0,Částečně,6
praha9,2+kk,47,24000.0,,6
praha8,2+kk,55,30800.0,Ano,6
praha8,1+kk,29,17000.0,Částečně,6
praha8,3+kk,76,29900.0,Ano,6
praha8,1+kk,38,25000.0,Ano,6
praha3,2+kk,64,23990.0,Ano,6
praha7,1+kk,27,15990.0,Ne,6
praha6,2+kk,75,28000.0,,6
praha4,4+1,85,25000.0,Ne,6
praha6,5+1,146,69000.0,Ne,6
praha10,2+1,70,25000.0,Částečně,6
praha8,1+kk,28,20000.0,Ano,6
praha4,3+kk,85,30000.0,Ano,6
praha4,2+kk,66,25000.0,,6
praha2,3+kk,110,57900.0,Ano,6
praha8,1+kk,40,19500.0,Částečně,6
praha4,3+kk,93,29000.0,Částečně,6
praha2,3+kk,91,55000.0,Ano,6
praha4,2+1,75,28500.0,Ne,6
praha5,1+kk,26,20500.0,Ne,6
praha1,2+kk,50,26000.0,Ano,6
praha7,2+kk,43,26000.0,Ne,6
praha4,1+1,42,16990.0,Částečně,6
praha5,3+1,104,69000.0,Ano,6
praha5,2+kk,40,20000.0,Ne,6
praha3,1+kk,23,15990.0,Částečně,6
praha5,2+kk,37,22500.0,Ano,6
praha5,3+kk,87,36500.0,,6
praha5,2+kk,52,32000.0,,6
praha5,2+kk,75,36000.0,Ano,6
praha5,1+kk,45,20000.0,Ano,6
praha4,1+kk,29,14600.0,Ano,6
praha8,3+kk,65,24000.0,Ne,6
praha4,1+kk,29,17000.0,Částečně,6
praha2,2+kk,48,20000.0,Ano,6
praha5,2+kk,55,27000.0,Ne,6
praha8,2+kk,59,31000.0,Ano,6
praha2,3+kk,103,42000.0,Ano,6
praha4,2+kk,55,24600.0,Ano,6
praha9,1+kk,37,19000.0,,6
praha5,2+kk,59,27880.0,Ne,6
praha8,1+kk,47,12000.0,,6
praha3,2+1,53,24700.0,,6
praha6,1+1,35,15000.0,Ne,6
praha4,3+kk,96,39900.0,Ano,6
praha4,3+kk,115,49000.0,,6
praha9,2+kk,52,24500.0,Částečně,6
praha4,3+kk,70,30000.0,,6
praha4,1+kk,35,18500.0,Ne,6
praha4,2+kk,47,19990.0,Částečně,6
praha10,1+1,39,19000.0,Částečně,6
praha6,2+kk,42,21000.0,Ano,6
praha7,2+kk,36,21000.0,Částečně,6
praha10,2+1,65,23000.0,,7
praha2,2+1,52,35000.0,Částečně,7
praha2,1+kk,47,22900.0,Ano,7
praha5,3+kk,87,32000.0,Částečně,7
praha6,2+kk,49,26000.0,Ano,7
praha8,2+kk,53,28000.0,,7
praha2,2+kk,35,22900.0,Ano,7
praha5,2+1,77,35000.0,Ne,7
praha10,2+kk,52,21000.0,Ano,7
praha3,1+1,41,23000.0,Ano,7
praha9,2+kk,60,28990.0,Ne,7
praha1,2+kk,71,28000.0,Ano,7
praha9,2+kk,86,22000.0,Ne,7
praha7,1+kk,37,22000.0,Ano,8
praha5,2+kk,56,30000.0,Ne,8
praha5,1+kk,36,19000.0,,8
praha9,2+kk,41,23000.0,Ne,8
praha9,2+kk,63,25990.0,Ano,8
praha5,2+kk,40,20000.0,,8
praha6,2+kk,36,23000.0,Ano,8
praha5,4+kk,90,30000.0,,8
praha5,1+kk,48,19000.0,,8
praha10,1+kk,41,23000.0,,8
praha9,1+kk,30,20500.0,Ne,8
praha4,2+kk,53,23000.0,Ano,8
praha8,2+kk,47,23500.0,Částečně,8
praha5,4+kk,93,28000.0,,8
praha4,1+kk,29,16500.0,Částečně,8
praha5,3+kk,78,26000.0,,8
praha7,2+kk,53,32500.0,,9
praha6,3+1,91,47000.0,Částečně,9
praha5,3+1,89,42000.0,Ne,9
praha5,1+kk,50,25500.0,Ano,9
praha5,2+kk,67,30000.0,Ano,9
praha10,2+kk,56,29000.0,Ano,9
praha5,3+kk,81,43000.0,Ne,9
praha4,1+kk,45,24000.0,Ano,9
praha10,1+kk,20,15000.0,,9
praha1,2+1,85,32000.0,Ano,9
praha4,3+kk,80,29000.0,Ne,9
praha3,2+1,38,23000.0,,9
praha8,3+kk,72,22990.0,Ne,9
praha5,2+kk,52,22000.0,Ne,9
praha9,1+kk,38,16400.0,Ne,9
praha5,2+kk,46,29000.0,Ne,9
praha1,3+kk,95,33000.0,,9
praha5,2+kk,66,24000.0,,9
praha10,2+1,68,33000.0,,9
praha5,3+kk,94,38000.0,Částečně,9
praha2,3+1,118,49000.0,,9
praha7,2+kk,61,34200.0,,9
praha1,2+kk,65,40000.0,Ano,9
praha4,2+kk,45,21000.0,Ne,9
praha5,2+kk,53,28000.0,Částečně,9
praha10,2+kk,50,21490.0,Ne,9
praha2,2+kk,50,23000.0,Částečně,9
praha9,2+kk,55,28000.0,Ano,9
praha10,2+kk,47,21990.0,Částečně,9
praha8,2+1,62,20000.0,,9
praha1,1+kk,37,27000.0,Ano,9
praha1,4+kk,89,35000.0,Ne,9
praha5,1+kk,41,19000.0,Ne,9
praha7,2+kk,54,22000.0,Částečně,9
praha6,2+kk,60,37000.0,Ano,9
praha10,3+kk,55,28500.0,Ano,9
praha2,2+kk,43,21900.0,Ano,9
praha2,2+kk,41,22990.0,Ano,9
praha7,1+kk,27,21000.0,,9
praha1,3+kk,68,40000.0,,9
praha5,2+kk,60,30000.0,Ano,9
praha4,4+kk,83,32999.0,Částečně,9
praha5,1+kk,33,19500.0,Ne,9
praha4,1+kk,30,18900.0,Ano,9
praha7,3+kk,85,53950.0,,9
praha10,3+kk,42,22000.0,Částečně,9
praha1,3+kk,150,60000.0,Částečně,9
praha5,2+kk,52,24500.0,,9
praha5,3+kk,115,39000.0,,9
praha9,1+kk,27,22000.0,,9
praha5,2+kk,54,23000.0,Částečně,9
praha6,2+1,80,25000.0,,9
praha5,2+kk,48,25500.0,Částečně,9
praha4,1+kk,30,14000.0,,9
praha10,1+kk,23,13990.0,Částečně,9
praha9,1+kk,35,14990.0,Ne,9
praha8,1+kk,33,14000.0,,9
praha5,2+kk,52,24000.0,Ano,9
praha5,3+kk,74,30500.0,Ne,9
praha6,2+kk,42,18000.0,,9
praha4,1+kk,33,18500.0,Ano,9
praha9,1+kk,40,19990.0,Ne,9
praha4,2+kk,44,23000.0,,9
praha4,2+kk,41,21500.0,Částečně,9
praha5,2+kk,64,26000.0,,9
praha5,1+1,55,20000.0,Ne,9
praha3,2+kk,41,21000.0,Částečně,9
praha3,2+kk,64,33000.0,Ano,9
praha5,1+kk,31,18000.0,,9
praha10,1+kk,28,14000.0,,9
praha8,1+kk,30,16000.0,,9
praha4,2+kk,50,21000.0,Ne,9
praha8,2+kk,43,19000.0,Ne,10
praha5,2+kk,50,23000.0,Částečně,10
praha9,3+kk,87,39000.0,Ano,10
praha5,3+kk,78,45000.0,,10
praha10,3+kk,119,34000.0,Ano,10
praha9,2+kk,43,19000.0,Ano,10
praha9,2+kk,55,27000.0,Ano,10
praha5,2+kk,61,24000.0,,10
praha6,1+1,40,18000.0,,10
praha9,2+kk,43,21000.0,,10
praha9,2+kk,48,25000.0,Částečně,10
praha7,2+kk,32,22000.0,,10
praha2,3+kk,100,35000.0,Ne,10
praha10,3+kk,105,65000.0,Ano,10
praha8,2+kk,45,17500.0,Částečně,10
praha1,4+kk,120,50000.0,Ne,10
praha7,1+kk,34,20000.0,Ne,10
praha6,1+1,60,18000.0,,10
praha5,2+kk,42,28014.0,Ano,10
praha9,2+kk,46,22000.0,Částečně,10
praha9,2+kk,52,27000.0,Ano,10
praha4,2+kk,55,27000.0,Částečně,10
praha4,1+kk,33,17900.0,Ne,10
praha3,1+kk,35,17000.0,Ne,10
praha5,3+kk,72,30000.0,,10
